T_K,P_atm,solver_used,iterations,residual_norm,n_Ar,n_Ar_p,n_Ar2_p,n_Ar3_p,n_Ar4_p,n_e,charge_residual,eos_residual_Pa,deltaP_DH_Pa
28500.0,1.0,custom_newton,4,9.172425932305355e-15,8.283498965552769e+19,2.105296261423669e+22,7.20814607120664e+22,4.661471417830487e+20,2416439319509209.5,1.6661433512947573e+23,-201326592.0,6.257323548197746e-10,1098.2482953722338
28700.0,1.0,custom_newton,4,6.748586217266669e-15,7.409610202406073e+19,1.9325325661731537e+22,7.253584338818775e+22,5.356909857449489e+20,3326444998587744.5,1.660040987011216e+23,-268435456.0,4.3655745685100555e-11,1094.7758766898605
28900.0,1.0,custom_newton,4,8.114974228034534e-15,6.627422227090374e+19,1.7734707740242868e+22,7.289498142449611e+22,6.138450709894646e+20,4555958378414671.0,1.653662240260374e+23,402653184.0,4.656612873077393e-10,1090.679506473672
29100.0,1.0,custom_newton,4,1.5192804693674963e-14,5.927811433928037e+19,1.627199366048671e+22,7.316375394783809e+22,7.014571241000605e+20,6209157099668317.0,1.647038977650909e+23,-603979776.0,4.511093720793724e-10,1086.0375717362451
29300.0,1.0,custom_newton,4,8.943028851630411e-15,5.3024203329205305e+19,1.4928263268043835e+22,7.3346831686269435e+22,7.99432831212598e+20,8421565322542788.0,1.6402025882048202e+23,234881024.0,2.764863893389702e-10,1080.9270576842994
29500.0,1.0,custom_newton,4,6.442959010009969e-15,4.743624237349934e+19,1.3694880202937959e+22,7.344861680084879e+22,9.087361959583255e+20,1.1368666378214988e+16,1.6331836786717643e+23,402653184.0,3.637978807091713e-10,1075.4228593073635
29700.0,1.0,custom_newton,4,1.460974758803076e-14,4.244492772145545e+19,1.2563558792852398e+22,7.3473198454438495e+22,1.0303891623511063e+21,1.5276635862955874e+16,1.626011842953264e+23,234881024.0,-1.3096723705530167e-10,1069.597266176515
29900.0,1.0,custom_newton,4,6.489999638811288e-15,3.798747809111006e+19,1.1526411836205358e+22,7.3424322431688984e+22,1.1654703632022236e+21,2.043564582664701e+16,1.618715495317734e+23,67108864.0,5.820766091346741e-11,1063.5195952062145
30000.0,1.0,custom_newton,3,2.5951468605839756e-09,3.5941008751651783e+19,1.1040806070720127e+22,7.337340997502929e+22,1.2383985885960974e+21,2.359643195590746e+16,1.6150291617013914e+23,-2155670929408.0,0.0002629497757880017,1060.4070208091587
300.0,4.0,custom_newton,3,1.576832347310917e-11,9.785253167324135e+25,4.181161949715558e-107,0.0,0.0,0.0,4.181161949715558e-107,0.0,6.387068424373865e-06,2.460000418544814e-191
500.0,4.0,custom_newton,5,1.5297384055147215e-10,5.87115190120009e+25,4.2498053254701456e-54,2.199525514609357e-253,0.0,0.0,4.2498053254701456e-54,0.0,6.200018106028438e-05,6.174742859178336e-112
700.0,4.0,custom_newton,5,3.2599224967537916e-13,4.193679928788462e+25,2.299520769400339e-31,1.3842647120453475e-173,0.0,0.0,2.299520769400339e-31,0.0,1.3032695278525352e-07,6.56836546297223e-78
900.0,4.0,custom_newton,5,1.429019626465299e-13,3.2617510557233145e+25,1.0026445022171849e-18,3.3085182698873905e-129,2.41301155387e-313,0.0,1.0026445022171849e-18,0.0,4.656612873077393e-10,5.2741142643350295e-59
1100.0,4.0,custom_newton,5,3.662286801078208e-13,2.668705409228168e+25,1.1245998739832971e-10,6.148402457282486e-101,1.5419718898781131e-251,0.0,1.1245998739832971e-10,0.0,7.566995918750763e-10,5.666971484247788e-47
1300.0,4.0,custom_newton,4,3.770655365929785e-09,2.2581353547846345e+25,4.250521318541147e-05,2.3924966938482727e-81,1.0135752861787794e-208,0.0,4.250521318541147e-05,0.0,0.0015282466192729771,1.2112727473696523e-38
1500.0,4.0,custom_newton,4,1.1303488308958086e-09,1.9570506356461363e+25,0.5269294950257206,5.7375759282126117e-67,2.674924653818054e-177,0.0,0.5269294950257206,0.0,0.00045813038013875484,1.556443851232055e-32
1700.0,4.0,custom_newton,4,3.9691723710211476e-10,1.726809383127153e+25,714.9637776398608,5.8283887868263495e-56,2.9671469315049746e-153,2.861133486257309e-306,714.9637776398608,0.0,0.00016087054973468184,7.307215623865366e-28
1900.0,4.0,custom_newton,4,1.573589125534179e-10,1.5450399740067992e+25,213368.78192750126,2.9062230352883703e-47,2.942634162149023e-134,4.762123789758852e-271,213368.78192750126,0.0,6.37775519862771e-05,3.56344319888501e-24
2100.0,4.0,custom_newton,4,6.867808652557996e-11,1.3978933096917091e+25,21576804.242896352,3.2433074617959088e-40,7.207965909393594e-119,1.6140264006747675e-242,21576804.242896352,0.0,2.783519448712468e-05,3.4468418625132945e-21
2300.0,4.0,custom_newton,4,3.2404629976206476e-11,1.2763373696722197e+25,980176891.8250928,2.1797618657590797e-34,3.7996289686344893e-106,6.176939334811326e-219,980176891.8250928,0.0,1.3133569154888391e-05,1.0084238197358236e-18
