E_eV,Qm_A2,source,database,process,target
40,3.054107,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
50,2.513349,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
60,2.330727,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
70,2.197841,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
80,2.057997,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
90,1.932539,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
100,1.828359,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
110,1.768695,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
120,1.734942,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
121,1.725814,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
125,1.697552,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
132,1.644774,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
140,1.590744,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
144,1.561557,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
150,1.521663,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
160,1.447826,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
169,1.376493,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
180,1.31168,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
196,1.240477,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
200,1.227317,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
220,1.120005,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
225,1.080565,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
250,0.9660065,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
256,0.9447178,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
289,0.8080759,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
300,0.7682652,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
324,0.6986472,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
400,0.5464873,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
500,0.4397026,LXCat:IAA (IAA):ELASTIC,IAA (IAA),ELASTIC,Ar
