T_K,P_atm,P_bar,massf1,massf2,matf_rho_kg_m3,matf_h_J_kg,matf_cp_J_kgK,matf_mu_Pa_s,matf_kappa_W_mK,matf_sigma_S_m
6900.0,1.0,1.01325,0.0,0.0,0.07147169916666668,3441055.8333333335,538.0784166666667,0.00020770999999999997,0.178297125,259.0206
7100.0,1.0,1.01325,0.0,0.0,0.06945037583333333,3549529.3333333335,546.8746916666666,0.00021201999999999997,0.18832753333333332,345.2405833333333
7300.0,1.0,1.01325,0.0,0.0,0.06753742166666667,3660089.583333333,558.3663916666667,0.00021630044166666664,0.20063910833333332,448.4806916666667
7500.0,1.0,1.01325,0.0,0.0,0.06572274833333333,3773145.4166666665,573.1791,0.00022054044166666667,0.21546273333333335,568.6981499999999
7700.0,1.0,1.01325,0.0,0.0,0.06399731166666667,3889679.166666667,592.049725,0.00022475088333333333,0.23306017499999998,705.05195
7900.0,1.0,1.01325,0.0,0.0,0.062353935000000006,4010390.833333333,615.8529666666667,0.00022891132499999997,0.2536723166666667,856.0210833333333
8100.0,1.0,1.01325,0.0,0.0,0.06078361833333334,4136571.5833333335,645.5530833333333,0.0002330222083333333,0.27743180833333336,1019.6296833333336
8300.0,1.0,1.01325,0.0,0.0,0.059280185000000006,4269321.416666667,682.2547749999999,0.00023706309166666664,0.30439041666666666,1193.6865833333331
8500.0,1.0,1.01325,0.0,0.0,0.05783567916666667,4410322.666666667,727.1418583333333,0.00024101485833333334,0.3345499083333333,1376.0114999999998
8700.0,1.0,1.01325,0.0,0.0,0.05644583583333333,4561270.916666666,781.546825,0.0002448570666666666,0.367920725,1564.59825
8900.0,1.0,1.01325,0.0,0.0,0.05510374333333334,4724257.333333334,846.8921666666666,0.0002485606,0.40447286666666665,1757.7468333333336
9100.0,1.0,1.01325,0.0,0.0,0.05380231333333334,4901664.25,924.7199333333332,0.0002520659,0.44423545,1954.1484166666664
9300.0,1.0,1.01325,0.0,0.0,0.0525421925,5096178.416666667,1016.6230583333333,0.0002553329666666666,0.48725670833333334,2152.5985833333334
9500.0,1.0,1.01325,0.0,0.0,0.05130913166666667,5310877.75,1124.436083333333,0.0002582822416666667,0.5335870833333335,2352.3884999999996
9700.0,1.0,1.01325,0.0,0.0,0.05010124750000001,5549057.833333333,1249.7603333333334,0.00026083460833333335,0.5833343666666666,2553.0049166666668
9900.0,1.0,1.01325,0.0,0.0,0.048914805,5814492.166666667,1394.5829999999999,0.00026289095,0.6366072333333334,2753.8566666666666
10100.0,1.0,1.01325,0.0,0.0,0.04774571583333334,6111358.666666667,1560.7864166666668,0.0002643417083333333,0.6935048,2954.8260833333334
10300.0,1.0,1.01325,0.0,0.0,0.046585980000000006,6444230.833333333,1750.175,0.00026505732499999997,0.7540675083333334,3155.80875
10500.0,1.0,1.01325,0.0,0.0,0.04543446500000001,6818086.583333333,1964.7354999999998,0.0002649286833333333,0.8184040333333333,3356.6090833333333
10700.0,1.0,1.01325,0.0,0.0,0.04428617083333333,7237999.416666667,2206.2546666666667,0.0002638157833333333,0.8865448166666667,3557.2138333333337
10900.0,1.0,1.01325,0.0,0.0,0.04313905333333334,7709742.833333333,2476.4369166666665,0.00026161818333333335,0.9584711833333334,3757.627416666667
11100.0,1.0,1.01325,0.0,0.0,0.04198702416666667,8239385.916666666,2776.677833333333,0.00025822632499999997,1.03418225,3957.65425
