T_K,P_atm,rho_kg_m3,h_J_kg,cp_J_kgK
15300.0,4.0,0.09326549808686671,26059803.55860664,7924.770437181136
15500.0,4.0,0.09013315609275022,27666364.494730525,8113.820313011314
15700.0,4.0,0.08712427899968767,29305331.683811165,8246.018573984215
15900.0,4.0,0.08424695539209519,30964771.92432421,8316.638192640412
16100.0,4.0,0.08150746261995502,32631986.96086733,8322.93608831021
16300.0,4.0,0.07891009426657268,34293946.359648295,8264.439096764121
16500.0,4.0,0.0764570821687672,35937762.59957298,8143.061626424677
16700.0,4.0,0.0741486157487296,37551171.010218166,7963.030520916358
16900.0,4.0,0.07198295300138238,39122974.80793952,7730.619808597508
17100.0,4.0,0.06995660983270346,40643418.93365717,7453.725922771282
17300.0,4.0,0.06806460867063222,42104465.177048035,7141.336342530474
17500.0,4.0,0.06630076410177262,43499953.47066936,6802.956600911729
17700.0,4.0,0.0646579829343557,44825647.81741273,6448.060319164526
17900.0,4.0,0.06312855824274488,46079177.59833517,6085.615724030566
18100.0,4.0,0.06170444091853262,47259894.10702495,5723.723851177767
18300.0,4.0,0.060377477168684524,48368667.138806276,5369.383187088799
18500.0,4.0,0.05913960542516321,49407647.38186047,5028.377178503964
18700.0,4.0,0.0579830106108726,50380018.01020786,4705.26763819769
18900.0,4.0,0.05690023724701545,51289754.43713955,4403.469587579053
19100.0,4.0,0.05588426534141797,52141405.84523948,4125.380998975579
19300.0,4.0,0.054928554416482415,52939906.83672978,3872.5428526258283
19500.0,4.0,0.05402706159159884,53690422.986289814,3645.8092600903474
19700.0,4.0,0.053174239552263254,54398230.54076592,3445.51266029818
19900.0,4.0,0.05236501974021028,55068628.050409086,3271.6142014365087
20100.0,4.0,0.05159478537660477,55706876.22134052,3123.8337557907776
20300.0,4.0,0.0508593381288891,56318161.5527254,3001.757319242172
