T_K,P_atm,mu_Pa_s,kappa_W_mK,kappa_H_W_mK,kappa_e_W_mK,kappa_int_W_mK,kappa_reac_W_mK,sigma_S_m,nu_e_1_s,Astar_e,Bstar_e,Cstar_e,cp_frozen_J_kgK,cp_reac_J_kgK
9700.0,0.1,7.568453924568109e-08,0.24124723197219686,5.3605517102781993e-05,0.24092675608776062,1.80621381483293e-07,0.00026668974595196385,5333.890655850407,17973716018.820847,1.0968482118045366,1.1413631511460398,0.42306748949676126,547.2078991882508,2250.2934262052895
9900.0,0.1,6.215739265295647e-08,0.25883127688587915,4.418859820707556e-05,0.25852221756535704,1.978682758198542e-07,0.0002646728540392027,5723.975367066082,20149039570.734074,1.0978400006182194,1.1433726540152052,0.42183600855229214,553.9070564227598,2689.20794508551
10100.0,0.1,5.146204570668843e-08,0.2768448141769951,3.674668212128691e-05,0.27654470520202545,2.1562074609055648e-07,0.0002631466721022281,6107.8520953011885,22494242392.617973,1.098738428403836,1.1452100613969551,0.4208625117228374,561.9239854760344,3187.684010615764
10300.0,0.1,4.294817366554326e-08,0.29520448806689586,3.082617668767274e-05,0.29491129955191575,2.3372184905493682e-07,0.0002621286164434356,6484.391740574113,24997900543.492027,1.0995440222392885,1.1469846322956176,0.42016906003243254,571.4355121493719,3748.218909595743
10500.0,0.1,3.6132646842261184e-08,0.3144718888167807,2.6090116575714677e-05,0.31418391221073977,2.520215919306448e-07,0.0002616344678732354,6910.586913302279,27410727833.76979,1.1002727723585806,1.1486030801387495,0.4196246100035359,582.6215034675844,4371.647063507851
10700.0,0.1,3.065391523473633e-08,0.3342209384593216,2.2286340096576494e-05,0.3339367048949815,2.7040023924182394e-07,0.0002616768240042557,7340.119695944268,29872357410.93864,1.1009302370413123,1.1500717159063856,0.4191914232454968,595.6573709604273,5056.342791863299
10900.0,0.1,2.623987576396944e-08,0.3543620688977235,1.9225073695315834e-05,0.3540802916150917,2.888002608362351e-07,0.0002622634086756389,7763.448098299179,32384499911.586124,1.1015206103724247,1.1513959831553113,0.4188399564753534,610.7036545164993,5797.2112298509555
11100.0,0.1,2.268505629529865e-08,0.374869151321452,1.6763016643845395e-05,0.3745886858568207,3.0726770114554667e-07,0.0002633951802862947,8178.9605718884095,34913198485.208664,1.1020470790933956,1.15257982488112,0.41854644395208956,627.892251776143,6584.492297421235
11300.0,0.1,1.983431865718998e-08,0.39571180847398224,1.4791973597295828e-05,0.3954316260982454,3.260027351494885e-07,0.00026506439940445056,8585.289329856734,37418972356.97999,1.102512053578426,1.1536260492765162,0.41829172041078444,647.309152277653,7402.476882031708
11500.0,0.1,1.757118401690485e-08,0.4168556778170929,1.3230711658238917e-05,0.41657484881354495,3.4541749797987684e-07,0.00026725287439169,8981.273037725312,39857985105.749016,1.102917376909554,1.1545366883152333,0.418060343173419,668.9741213937232,8228.348960798248
11700.0,0.1,1.5809484256588377e-08,0.4382630212191216,1.2019137526127593e-05,0.43798070521531524,3.6619690001631535e-07,0.000269930669380178,9365.913451832896,42183860036.568665,1.1032645226683995,1.1553133635537123,0.41783994279180536,692.818736909219,9031.513813854846
11900.0,0.1,1.4487446738081788e-08,0.4598937334148031,1.1114172050264964e-05,0.4596091743182843,3.893552953613541e-07,0.0002730555691732177,9738.333507938809,44350110769.62733,1.1035547877462448,1.1559576657132193,0.4176207467744553,718.6655022454511,9773.911903531825
12100.0,0.1,1.3563593312233675e-08,0.4817067698528024,1.0486890325741372e-05,0.4814192931778946,4.162792357416225e-07,0.00027657350534631846,10097.744024802832,46313044355.75931,1.103789481223451,1.1564715437879294,0.41739523062205675,746.212239446838,10411.868500314846
12300.0,0.1,1.3014020092436336e-08,0.5037655639075755,1.0120625027832541e-05,0.5034745745952615,4.4874532114308346e-07,0.00028041994196518626,10457.411708296871,47970618911.22322,1.103970104192821,1.1568576858747688,0.4171578561442327,775.0270977913844,10899.874791495049
12500.0,0.1,1.2830749989702317e-08,0.5259726160669127,1.0009818250858553e-05,0.5256775953908526,4.889038482945981e-07,0.00028452195396097357,10808.42127364005,49332312269.82465,1.1040985090474331,1.157119859663044,0.41690486077447114,804.5595063239622,11196.241510311664
12700.0,0.1,1.3020933777772821e-08,0.5481702549025869,1.0159465602183797e-05,0.5478707556683886,5.392246382888543e-07,0.0002888005439577132,11133.179355754952,50458797314.386536,1.1041770218761664,1.1572631697449463,0.4166340656167317,834.1704344182108,11269.838390090827
12900.0,0.1,1.3606730537942347e-08,0.5703265487360901,1.0585034786300344e-05,0.5700221885041972,6.024106741928938e-07,0.0002931727864323166,11430.51245665563,51347113609.75359,1.1042085104616648,1.1572941871825482,0.4163446764482547,863.1811316096018,11106.375271851273
