T_K,Q_Ar,Q_Ar_p,Q_Ar2_p,Q_Ar3_p,Q_Ar4_p,Q_e
11100.000000,1.0003380360211942e+00,5.6612793473254772e+00,9.2399059498442213e+00,4.7077590166969321e+00,8.1732918312642351e+00,2.0000000000000000e+00
11300.000000,1.0004409297654857e+00,5.6667454727083859e+00,9.2771181531632632e+00,4.7451559479069187e+00,8.2197085603279394e+00,2.0000000000000000e+00
11500.000000,1.0005702597642145e+00,5.6720388701235196e+00,9.3139651389267133e+00,4.7831885616266288e+00,8.2654916524338002e+00,2.0000000000000000e+00
11700.000000,1.0007315433619899e+00,5.6771676794222738e+00,9.3504488442525311e+00,4.8218263313926073e+00,8.3106585403248747e+00,2.0000000000000000e+00
11900.000000,1.0009311705436132e+00,5.6821395633306722e+00,9.3865713192758999e+00,4.8610393465756578e+00,8.3552256950697963e+00,2.0000000000000000e+00
12100.000000,1.0011764926719535e+00,5.6869617464365430e+00,9.4223347309805217e+00,4.9007983512432221e+00,8.3992087211599973e+00,2.0000000000000000e+00
12300.000000,1.0014759135414022e+00,5.6916410511455426e+00,9.4577413647160977e+00,4.9410747757836129e+00,8.4426224406372654e+00,2.0000000000000000e+00
12500.000000,1.0018389820978451e+00,5.6961839309395081e+00,9.4927936239041433e+00,4.9818407620879697e+00,8.4854809676002692e+00,2.0000000000000000e+00
12700.000000,1.0022764861464200e+00,5.7005965012327291e+00,9.5274940283463057e+00,5.0230691830122920e+00,8.5277977742642594e+00,2.0000000000000000e+00
12900.000000,1.0028005463491720e+00,5.7048845680884810e+00,9.5618452114746102e+00,5.0647336567741839e+00,8.5695857495974170e+00,2.0000000000000000e+00
13100.000000,1.0034247098061071e+00,5.7090536550286179e+00,9.5958499168217113e+00,5.1068085568760724e+00,8.6108572514266122e+00,2.0000000000000000e+00
13300.000000,1.0041640425146403e+00,5.7131090281433234e+00,9.6295109939373997e+00,5.1492690180892078e+00,8.6516241527920990e+00,2.0000000000000000e+00
13500.000000,1.0050352200130430e+00,5.7170557196857974e+00,9.6628313939352761e+00,5.1920909389796526e+00,8.6918978832325902e+00,2.0000000000000000e+00
13700.000000,1.0060566155332105e+00,5.7208985503153027e+00,9.6958141648177119e+00,5.2352509814095640e+00,8.7316894655967694e+00,2.0000000000000000e+00
13900.000000,1.0072483850153418e+00,5.7246421501356339e+00,9.7284624466974261e+00,5.2787265674026651e+00,8.7710095489032103e+00,2.0000000000000000e+00
14100.000000,1.0086325483714875e+00,5.7282909786588609e+00,9.7607794670098755e+00,5.3224958737230752e+00,8.8098684377063083e+00,2.0000000000000000e+00
14300.000000,1.0102330664251824e+00,5.7318493438112146e+00,9.7927685357901346e+00,5.3665378244801643e+00,8.8482761183696521e+00,2.0000000000000000e+00
14500.000000,1.0120759129996839e+00,5.7353214200846105e+00,9.8244330410709200e+00,5.4108320820391214e+00,8.8862422825993601e+00,2.0000000000000000e+00
14700.000000,1.0141891416764577e+00,5.7387112659267068e+00,9.8557764444452065e+00,5.4553590364872182e+00,8.9237763485473938e+00,2.0000000000000000e+00
14900.000000,1.0166029467979645e+00,5.7420228404520550e+00,9.8868022768245893e+00,5.5000997938786496e+00,8.9608874797575258e+00,2.0000000000000000e+00
15100.000000,1.0193497183429294e+00,5.7452600195479793e+00,9.9175141344160327e+00,5.5450361634565182e+00,8.9975846021941202e+00,2.0000000000000000e+00
15300.000000,1.0224640903579829e+00,5.7484266114411806e+00,9.9479156749314601e+00,5.5901506440287152e+00,9.0338764195656314e+00,2.0000000000000000e+00
15500.000000,1.0259829826854165e+00,5.7515263717830623e+00,9.9780106140386842e+00,5.6354264096543583e+00,9.0697714271295968e+00,2.0000000000000000e+00
15700.000000,1.0299456357824579e+00,5.7545630183060030e+00,1.0007802722057194e+01,5.6808472947799915e+00,9.1052779241442998e+00,2.0000000000000000e+00
15900.000000,1.0343936384821892e+00,5.7575402450963216e+00,1.0037295820898157e+01,5.7263977789484253e+00,9.1404040251130567e+00,2.0000000000000000e+00
16100.000000,1.0393709485991773e+00,5.7604617365246398e+00,1.0066493781244882e+01,5.7720629711889542e+00,9.1751576699503925e+00,2.0000000000000000e+00
