T_K,pair,category,Q11_m2,Q22_m2,Q11_A2,Q22_A2,Ast,Bst,Cst,source,notes
6300.0,Ar-Ar+,ion-neutral,1.741411513280754e-14,1.3060610698881317e-14,1741411.5132807542,1306061.0698881317,0.7500013982493785,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6300.0,e-Ar,electron-neutral,1.4645176632832877e-20,1.4645176632832877e-20,1.464517663283288,1.464517663283288,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6500.0,Ar-Ar,neutral-neutral,2.068319899684144e-19,2.330016937412669e-19,20.68319899684144,23.300169374126693,1.1265263839353328,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6500.0,Ar-Ar+,ion-neutral,1.714411395817767e-14,1.2858108346955503e-14,1714411.3958177671,1285810.8346955504,0.7500013344709623,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6500.0,e-Ar,electron-neutral,1.517589920474314e-20,1.517589920474314e-20,1.5175899204743142,1.5175899204743142,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6700.0,Ar-Ar,neutral-neutral,2.05855847808698e-19,2.3195377476957067e-19,20.5855847808698,23.195377476957066,1.126777680783329,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6700.0,Ar-Ar+,ion-neutral,1.68862943780681e-14,1.2664742320437347e-14,1688629.4378068103,1266474.2320437348,0.7500012754063022,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6700.0,e-Ar,electron-neutral,1.571371662178924e-20,1.571371662178924e-20,1.5713716621789242,1.5713716621789242,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
6900.0,Ar-Ar,neutral-neutral,2.0491282573976088e-19,2.3094118872557287e-19,20.49128257397609,23.094118872557285,1.1270216390401446,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
6900.0,Ar-Ar+,ion-neutral,1.6639767117270522e-14,1.2479845648147755e-14,1663976.7117270522,1247984.5648147755,0.7500012205816776,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
6900.0,e-Ar,electron-neutral,1.6258980807732645e-20,1.6258980807732645e-20,1.6258980807732646,1.6258980807732646,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7100.0,Ar-Ar,neutral-neutral,2.0400088762715848e-19,2.2996177062365746e-19,20.40008876271585,22.996177062365746,1.1272586766580461,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7100.0,Ar-Ar+,ion-neutral,1.6403731210668497e-14,1.2302817593524389e-14,1640373.12106685,1230281.7593524389,0.7500011695828692,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7100.0,e-Ar,electron-neutral,1.681201230369644e-20,1.681201230369644e-20,1.681201230369644,1.681201230369644,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7300.0,Ar-Ar,neutral-neutral,2.0311817550020303e-19,2.2901354449303604e-19,20.311817550020304,22.901354449303604,1.1274891768255724,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
7300.0,Ar-Ar+,ion-neutral,1.6177463038666405e-14,1.213311543086214e-14,1617746.3038666407,1213311.543086214,0.750001122046287,1.2,0.85,MurphyTam2014 charge-exchange + Langevin elastic,Uses Aubreton1986 context; elastic represented with capture model
7300.0,e-Ar,electron-neutral,1.7373094591711272e-20,1.7373094591711272e-20,1.7373094591711273,1.7373094591711273,1.0,1.0,1.0,Milloy1977 + Frost1964,Omega22 assumed equal to Omega11
7500.0,Ar-Ar,neutral-neutral,2.0226298957531237e-19,2.280947022204228e-19,20.226298957531238,22.80947022204228,1.1277134917235663,1.15,0.92,Aziz1990_TableI_II + LJ surrogate,HFDTCS2 full scattering integral not yet implemented
