T_K,P_atm,pair,category,interaction,lambda_D_m,Tstar,Q11_m2,Q22_m2,Q14_m2,Q15_m2,Q11_A2,Q22_A2,Q14_A2,Q15_A2,Ast,Bst,Cst,source,notes
28100.0,4.0,e-__Ar2+,charged-charged,attraction,1.4647884971288622e-08,12.316075262689875,5.769900230778606e-18,6.4082390074265e-18,9.244785498294663e-19,6.509807164261341e-19,576.9900230778605,640.8239007426499,92.44785498294664,65.0980716426134,1.1106398914822535,1.1969367065760514,0.43737218672225064,Mason1967 table + Debye-Huckel screening,
28300.0,4.0,e-__Ar2+,charged-charged,attraction,1.4702019583484475e-08,12.449575000489567,5.708001864621959e-18,6.339469377191083e-18,9.13665786969379e-19,6.432840212271519e-19,570.8001864621959,633.9469377191083,91.3665786969379,64.32840212271519,1.1106367807014232,1.196555635924352,0.4371482105024763,Mason1967 table + Debye-Huckel screening,
28500.0,4.0,e-__Ar2+,charged-charged,attraction,1.4757118490566769e-08,12.584544994743636,5.647269875785202e-18,6.271995811107772e-18,9.030647937944622e-19,6.357387473270269e-19,564.7269875785203,627.1995811107772,90.30647937944622,63.57387473270269,1.1106336693888925,1.1961745001393207,0.43692419600025384,Mason1967 table + Debye-Huckel screening,
28700.0,4.0,e-__Ar2+,charged-charged,attraction,1.4813311569753398e-08,12.721114091313384,5.5876891349201686e-18,6.2058014672756775e-18,8.926716567134726e-19,6.283420011843734e-19,558.7689134920168,620.5801467275677,89.26716567134726,62.834200118437344,1.1106305549950637,1.1957929868953119,0.43669995964459146,Mason1967 table + Debye-Huckel screening,
28900.0,4.0,e-__Ar2+,charged-charged,attraction,1.4870707878360379e-08,12.859396241070003,5.529242002883242e-18,6.14086672131529e-18,8.824822514812922e-19,6.210907586313259e-19,552.9242002883242,614.086672131529,88.24822514812922,62.109075863132595,1.110627435418286,1.1954108387400142,0.43647535011657984,Mason1967 table + Debye-Huckel screening,
29100.0,4.0,e-__Ar2+,charged-charged,attraction,1.492939597257281e-08,12.99949015448462,5.471908594082581e-18,6.0771694584530925e-18,8.724922701200631e-19,6.139818824178467e-19,547.1908594082581,607.7169458453093,87.24922701200632,61.39818824178467,1.1106243089917496,1.1950278514893227,0.4362502474059693,Mason1967 table + Debye-Huckel screening,
29300.0,4.0,e-__Ar2+,charged-charged,attraction,1.4989444577843973e-08,13.141479275942084,5.415667061655844e-18,6.0146853898294164e-18,8.626972504767816e-19,6.070121415328673e-19,541.5667061655844,601.4685389829416,86.26972504767816,60.70121415328673,1.1106211744635295,1.1946438717823458,0.4360245613741135,Mason1967 table + Debye-Huckel screening,
29500.0,4.0,e-__Ar2+,charged-charged,attraction,1.5050903546224372e-08,13.285432035399484,5.360493894031429e-18,5.953388381439153e-18,8.530926072183655e-19,6.001782315019034e-19,536.0493894031429,595.3388381439153,85.30926072183655,60.01782315019034,1.110618030971142,1.194258793964892,0.4357982299222224,Mason1967 table + Debye-Huckel screening,
29700.0,4.0,e-__Ar2+,charged-charged,attraction,1.5113805036946174e-08,13.431402332822508,5.3063642136328766e-18,5.893250785453596e-18,8.436736632032572e-19,5.934767949528777e-19,530.6364213632877,589.3250785453596,84.36736632032571,59.34767949528777,1.1106148780119733,1.1938725564667367,0.435571216862082,Mason1967 table + Debye-Huckel screening,
29900.0,4.0,e-__Ar2+,charged-charged,attraction,1.5178164859616288e-08,13.579430210493271,5.253252069821603e-18,5.834243765153367e-18,8.344356803213259e-19,5.869044418437402e-19,525.3252069821604,583.4243765153367,83.44356803213259,58.690444184374016,1.1106117154108543,1.1934851378296558,0.4353435095815121,Mason1967 table + Debye-Huckel screening,
